basin.name.old,basin.name
Parnaiba,ParnaibaR
Zambezi,ZambeziR
Australia-East Coast,AusCstE
Africa-Indian Ocean Coast,AfrCstSE
Australia-West Coast,AusCstW
Sao Francisco,SaoFrancR
Australia-Interior,AusInt
Orange,OrangeR
Uruguay-Brazil-South Atlantic Coast,BrzCstS
Namibia-Coast,AfrCstSW
Africa-South Interior,AfrIntS
South Africa-South Coast,AfrCstS
Limpopo,LimpopoR
La Puna Region,LaPuna
New Zealand,NewZealand
Australia-South Coast,AusCstS
Mar Chiquita,MarChiq
South Africa-West Coast,AfrCstSSW
Salinas Grandes,Salinas
La Plata,RioLaPlata
North Chile-Pacific Coast,ChileCstN
Murray-Darling,MurrayDrlg
Pampas Region,Pampas
North Argentina-South Atlantic Coast,ArgCstN
Tasmania,Tasmania
South America-Colorado,ArgColoR
Negro,NegroR
Central Patagonia Highlands,Patagonia
South Argentina-South Atlantic Coast,ArgCstS
Antarctica,Antarctica
California River,California
Upper Mississippi,MissppRN
Lower Mississippi River,MissppRS
Upper Colorado River,UsaColoRN
Lower Colorado River,UsaColoRS
Great,GreatBasin
Missouri River,MissouriR
Arkansas White Red,ArkWhtRedR
Texas Gulf Coast,TexasCst
South Atlantic Gulf,UsaCstSE
Great Lakes,GreatLakes
Ohio River,OhioR
Pacific Northwest,UsaPacNW
Tennessee River,TennR
Rio Grande River,RioGrande
New England,UsaCstNE
Mid Atlantic,UsaCstE
Hawaii,Hawaii
Narmada,NarmadaR
