"","GCAM_basin_ID","GCAM_basin_name","prob","med_peak_yr","gw_ratio","price","(a) Number (%), peak scenarios","(b) Median peak year","(c) Median depletion (BCM)","(c) Mean depletion (BCM)","(d) Peak-year dependence (%)","(e) Water price (USD per m3)"
"184",187,"Parnaiba",0,2101,0,4.848285e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"185",188,"Zambezi",0,2101,0,6.7730525e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"186",189,"Australia-East Coast",0,2101,0,0.000180611365,"0","No peak and decline","0",0.012277307,"0","0 - 0.01"
"187",190,"Africa-Indian Ocean Coast",0,2101,0,0.000107246715,"0","No peak and decline","0",0.0118218411111111,"0","0 - 0.01"
"188",191,"Australia-West Coast",0.404444444444444,2101,0.026416469752938,0.00060833275,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",4.99797946118667,"0 - 20","0 - 0.01"
"189",192,"Sao Francisco",0.48,2101,0.0425786662247263,0.00024195459,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",8.91954540096667,"0 - 20","0 - 0.01"
"190",193,"Australia-Interior",0.428888888888889,2101,0.0312702535044349,0.00069336985,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",1.48272401511333,"0 - 20","0 - 0.01"
"191",194,"Orange",0.477777777777778,2101,0.0456468066575811,0.0010056543,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",11.9347164301778,"0 - 20","0 - 0.01"
"192",195,"Uruguay-Brazil-South Atlantic Coast",0,2101,0,5.3400225e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"193",196,"Namibia-Coast",0,2101,0,5.370596e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"194",197,"Africa-South Interior",0,2101,0,4.954975e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"195",198,"South Africa-South Coast",0.466666666666667,2101,0.0170709586511072,0.000289472295,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",8.09670076123444,"0 - 20","0 - 0.01"
"196",199,"Limpopo",0.517777777777778,2085,0.088930029026379,0.0007582134,"450 - 674 (50 - 75 %)","2080 - 2095","0 - 200",12.7645209300111,"0 - 20","0 - 0.01"
"197",200,"La Puna Region",0.406666666666667,2101,0.0102004322730276,0.0013654675,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",9.77151322420867,"0 - 20","0 - 0.01"
"198",201,"New Zealand",0,2101,0,4.863842e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"199",202,"Australia-South Coast",0,2101,0,0.000131720555,"0","No peak and decline","0",0,"0","0 - 0.01"
"200",203,"Mar Chiquita",0.478888888888889,2101,0.0208635836046388,0.000373629555,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",1.66801629590333,"0 - 20","0 - 0.01"
"201",204,"South Africa-West Coast",0.685555555555556,2070,0.520471665977495,0.0013087573,"450 - 674 (50 - 75 %)","2060 - 2079","0 - 200",8.95444552477111,"40 - 60","0 - 0.01"
"202",205,"Salinas Grandes",0,2101,0,8.022806e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"203",206,"La Plata",0.481111111111111,2101,0.024858013384022,0.00021520501,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",67.5914105717,"0 - 20","0 - 0.01"
"204",207,"North Chile-Pacific Coast",0.476666666666667,2101,0.371069658884193,0.126261505,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",32.3576435625184,"20 - 40","0.1 - 0.5"
"205",208,"Murray-Darling",0.631111111111111,2070,0.238199026326388,0.00257159325,"450 - 674 (50 - 75 %)","2060 - 2079","0 - 200",49.1858096580889,"20 - 40","0 - 0.01"
"206",209,"Pampas Region",0.471111111111111,2101,0.008242370740147,8.3666345e-05,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",0.547172455184,"0 - 20","0 - 0.01"
"207",210,"North Argentina-South Atlantic Coast",0.438888888888889,2101,0.0161312465089221,0.00016446193,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",0.661969798856667,"0 - 20","0 - 0.01"
"208",211,"Tasmania",0,2101,0,4.9712135e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"209",212,"South America-Colorado",0.375555555555556,2101,0.322256896166206,0.114915,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",78.9104831321778,"20 - 40","0.1 - 0.5"
"210",213,"Negro",0.314444444444444,2101,0.046679178139429,0.0021099898,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",12.9600404942222,"0 - 20","0 - 0.01"
"211",214,"Central Patagonia Highlands",0,2101,0,4.791274e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"212",215,"South Argentina-South Atlantic Coast",0.435555555555556,2101,0.0223134204520896,0.0011899225,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",1.55077454536344,"0 - 20","0 - 0.01"
"213",217,"California River",0.982222222222222,2015,0.274496228284662,0.00197873995,"855 - 900 (more than 95%)","2015 - 2039","0 - 200",146.529432287302,"20 - 40","0 - 0.01"
"214",218,"Upper Mississippi",0,2101,0,0.00012659027,"0","No peak and decline","0",0,"0","0 - 0.01"
"215",219,"Lower Mississippi River",0.623333333333333,2035,0.080521064295451,0.0005472633,"450 - 674 (50 - 75 %)","2015 - 2039","0 - 200",14.7791671959222,"0 - 20","0 - 0.01"
"216",220,"Upper Colorado River",0.466666666666667,2101,0.161443630189133,5.2881345e-05,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",4.55443728436667,"0 - 20","0 - 0.01"
"217",221,"Lower Colorado River",0.631111111111111,2090,0.67548019717135,0.127559645,"450 - 674 (50 - 75 %)","2080 - 2095","0 - 200",125.689521097778,"60 - 80","0.1 - 0.5"
"218",222,"Great",0.375555555555556,2101,0.30133385924206,0.00020167418,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",23.1681506010333,"20 - 40","0 - 0.01"
"219",223,"Missouri River",0.941111111111111,2010,0.274341593953699,0.00126097005,"675 - 855 (75 - 95%)","1990 - 2014","0 - 200",76.7058283811333,"20 - 40","0 - 0.01"
"220",224,"Arkansas White Red",0.936666666666667,2015,0.25340467321148,0.001990215,"675 - 855 (75 - 95%)","2015 - 2039","0 - 200",65.9703469124778,"20 - 40","0 - 0.01"
"221",225,"Texas Gulf Coast",0.873333333333333,2005,0.208713300075517,0.00089350525,"675 - 855 (75 - 95%)","1990 - 2014","0 - 200",41.4025962169556,"20 - 40","0 - 0.01"
"222",226,"South Atlantic Gulf",0.00555555555555556,2101,0,9.662448e-05,"1 - 224 (less than 25%)","No peak and decline","0",0.279451901444444,"0","0 - 0.01"
"223",227,"Great Lakes",0,2101,0,5.183677e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"224",228,"Ohio River",0,2101,0,0.000137599785,"0","No peak and decline","0",0,"0","0 - 0.01"
"225",229,"Pacific Northwest",0,2101,0,6.880095e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"226",230,"Tennessee River",0.00111111111111111,2101,0,0.000108144415,"1 - 224 (less than 25%)","No peak and decline","0",0.040969739,"0","0 - 0.01"
"227",231,"Rio Grande River",0.847777777777778,2060,0.591713379456563,0.120503065,"675 - 855 (75 - 95%)","2060 - 2079","0 - 200",174.975812182,"40 - 60","0.1 - 0.5"
"228",232,"New England",0,2101,0,5.0272375e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"229",233,"Mid Atlantic",0.463333333333333,2101,0.0587188487661891,0.000186585065,"225 - 449 (25 - 50 %)","No peak and decline","0 - 200",6.17366471832222,"0 - 20","0 - 0.01"
"230",234,"Hawaii",0,2101,0,4.7603245e-05,"0","No peak and decline","0",0,"0","0 - 0.01"
"231",235,"Narmada",0.995555555555556,2015,0.181397339396598,0.00103344305,"855 - 900 (more than 95%)","2015 - 2039","0 - 200",22.7087613924079,"0 - 20","0 - 0.01"
