# ../water-data/level1//L100.runoff_B_bm3.csv
# Written by L100.water.supply.runoff.R
# Wed Mar 28 06:29:47 2018
# " Accessable freshwater runoff by basin ID / Historical and future years "
# " Unit = billion m^3 "
"basin.id","X1975","X1990","X2005","X2010","X2015","X2020","X2025","X2030","X2035","X2040","X2045","X2050","X2055","X2060","X2065","X2070","X2075","X2080","X2085","X2090","X2095","X2100"
24,20.73,25.14,21.96,23.04,22.15,20.36,21.42,25.71,22.22,23.4,21.73,24.31,22.62,23.93,23.12,21.37,22.57,27.11,23.52,24.83,23.05,26.58
25,14.37,15.13,14.73,15.59,14.37,13.04,14.35,14.37,14.11,14.84,13.78,14.55,15.07,15.44,13.62,12.76,13.42,14.53,13.83,14.93,13.72,13.73
26,34.71,37.3,37.12,39,38.12,36.13,35.27,41.15,38.57,36.64,35.51,43.93,37.57,39.69,38.49,36.67,36.08,41.87,39.34,37.21,35.96,46.99
27,83.72,85.29,87.19,92.75,95.89,91.3,88.3,85.12,83.32,92.19,98.43,83.68,91.72,99.17,102.92,99.09,97.39,92.95,92.02,103.03,110.13,99.21
28,10.5,11.15,11.35,11.32,11.98,10.95,10.67,12.16,12.01,11.42,11.57,12.17,11.42,11.47,12.1,10.94,10.91,12.22,12.21,11.58,11.68,12.57
29,19.42,18.61,18.67,19.45,20.06,18.64,18.81,19.26,19.8,19.18,19.48,19,18.43,19.18,19.86,18.32,18.82,19.07,18.83,18.03,19.29,19.3
30,32.59,34.43,32.34,34.5,34.98,34.39,32.24,34.51,34.87,34.97,34.33,32.43,31.8,33.63,33.62,33.61,31.6,33.61,33.14,32.72,32.79,31.33
31,25.3,24.61,27,26.91,28.5,26.19,25.57,27.41,27.95,25.69,27.72,27.72,27.26,26.83,28.48,25.85,25.83,26.94,27.06,25.4,27.46,27.43
32,49.68,51.71,51.39,52.97,56.68,49.48,49.91,57.56,54.6,51.9,51.75,60.83,50.8,52.64,56.58,49.19,50,57.29,55.13,52.24,51.66,60.37
33,7.35,7.69,7.43,8.08,7.91,7.89,7.25,8.93,8.06,7.64,7.52,7.86,7.71,8.25,8.01,8.05,7.36,9.35,8.19,7.79,7.82,8.32
34,46.34,37.53,34.96,35.17,41.91,43.65,46.45,50.63,41.8,41.51,44.2,39.57,36.98,37.53,44.63,46.73,49.59,54.56,45.4,44.81,48.68,44.96
35,17.21,18.72,18.68,19.73,18.9,17.67,17.57,18.67,19.34,18.57,17.65,18.62,18.72,19.63,18.14,17.41,17.57,18.65,18.92,18.3,17.57,18.43
36,7.67,7.38,7.14,8.19,8.44,6.64,7.57,8.07,7.49,7.23,7.74,9.76,7.1,8.17,8.35,6.23,7.6,8.29,7.86,7.23,7.62,9.92
37,17.55,18.1,20.94,22.82,19.71,23.82,16.68,18.85,19.78,18.53,20.31,19.8,21.17,22.92,20.17,24.18,17.12,19.63,20.58,19.67,21.27,20.67
38,14.33,16.52,15.97,17.22,16.76,17.33,14.88,17.66,17.11,16.96,16.41,15.97,16.43,17.32,16.67,17.58,15.48,17.67,17.48,17.24,16.95,17.13
39,117.02,121.38,117.66,116.7,112.62,114.46,116.8,117.5,116.31,119.63,119.02,112.14,115.47,114.89,109.32,112.31,113.43,112.79,111.92,114.43,112.67,103.92
40,118.42,100.57,93.26,83.26,114.96,116.45,119.98,108.33,96.57,107.7,111.76,100.63,96.15,86.99,118.2,120.53,123.03,114.17,103.48,113.71,119.22,112.14
41,16.45,14.88,15.25,20.51,18.83,15.48,16.09,20.2,16.7,14.97,17.13,20.87,14.73,20.26,18.6,15.05,15.92,20.01,16.63,14.41,16.99,20.69
42,48.07,43.73,54.03,56.25,47.77,52.95,51.59,47.21,57.81,50.26,55.13,53.65,60.08,62.34,54.95,61.02,60.63,57,67.03,61.41,66.46,63.78
43,294.37,312.16,333.24,344.96,315.84,335.09,306.5,322.24,334.58,330.29,324.83,321.98,344.21,355.4,330.32,349.23,321.41,338.05,350.54,346.58,342,336.82
